"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","12","","2","0","","0"
"0","moemax","1","DE","1","0","Paypal","0"
"0","xxxlutz","1","RO","1","0","SplitIT","0"
"0","xxxlesnina","2","SI","0","0","DEL","0"
"0","moemax","1","AT","1","0","Credit Card","0"
"0","xxxlutz","0","AT","2","0","KL","0"
"0","xxxlutz","2","AT","0","0","Billie","0"
"0","xxxlutz","1","CZ","1","0","ON","0"
"0","xxxlutz","0","AT","4","0","Credit Card","0"
"0","xxxlutz","1","SK","1","0","Paypal","0"
"0","xxxlutz","1","HU","1","0","Credit Card","0"
"0","xxxlutz","0","CH","2","0","TW","0"
"0","xxxlutz","1","CZ","1","0","DEL","0"
"0","xxxlutz","1","DE","2","0","Paypal","0"
"0","xxxlutz","1","DE","2","0","KN","0"
"0","xxxlutz","0","AT","1","0","KN","0"
"0","xxxlesnina","0","HR","2","0","Credit Card","0"
